Variable,n,promedio,desvío_estándar,mínimo,p1,p25,p50,p75,p99,máximo
CH04,46804,1.5198700965729426,0.49961036054559704,1.0,1.0,1.0,2.0,2.0,2.0,2.0
CH06,46498,37.00920469697621,22.050142606398314,1.0,2.0,19.0,35.0,54.0,85.0,103.0
CH07,46804,3.5216434492778395,1.6512291168800626,1.0,1.0,2.0,5.0,5.0,5.0,5.0
CH08,46762,2.1284162354048157,1.8582947427352996,1.0,1.0,1.0,1.0,4.0,12.0,123.0
NIVEL_ED,46804,3.780702504059482,1.7572552088102658,1.0,1.0,3.0,4.0,5.0,7.0,7.0
ESTADO,46804,2.184556875480728,1.1321256063512757,1.0,1.0,1.0,3.0,3.0,4.0,4.0
CAT_OCUP,46801,1.2734343283263179,1.3971725179378471,0.0,0.0,0.0,0.0,3.0,3.0,4.0
EMPLEO,21116,1.4313790490623224,0.49528050840665977,1.0,1.0,1.0,1.0,2.0,2.0,2.0
SECTOR,20275,1.3759309494451295,0.6126906837010774,1.0,1.0,1.0,1.0,2.0,3.0,3.0
PP04C,18423,4.994300602507735,3.787915129643327,0.0,0.0,1.0,5.0,8.0,12.0,12.0
PP04D_COD,21119,44969.6908471045,23003.775897304604,1.0,5001.0,30313.0,41332.0,58113.0,90292.37999999998,99998.0
P21,42529,328252.4315065014,649959.0092560005,0.0,0.0,0.0,0.0,499700.0,2630000.0,19725000.0
P47T,40900,492135.5820717604,734639.8117228034,0.0,0.0,0.0,315600.0,715763.705,3287500.0,21697500.0
PP07H,15292,1.3639157729531781,0.4811405423954287,1.0,1.0,1.0,1.0,2.0,2.0,2.0
PP3E_TOT,21088,35.86319233687405,16.330878754262113,0.0,0.0,25.0,40.0,48.0,84.0,154.0
REGION,46804,35.36174258610375,15.183540005779506,1.0,1.0,40.0,42.0,43.0,44.0,44.0
AGLOMERADO,46804,23.31572087855739,17.557761066486638,2.0,2.0,12.0,22.0,32.0,93.0,93.0
PP04B_COD,21132,6300.455990914254,2500.474093100954,20.0,104.0,4803.0,6000.0,8501.0,9700.0,9999.0
PP04G,19723,9.64827865943315,2.341942074709313,2.0,3.0,8.0,11.0,11.0,12.0,13.0
COMPONENTE,46804,2.4316938723186055,1.5926313755582016,1.0,1.0,1.0,2.0,3.0,8.0,56.0
